epoca,mse
1,0.240646
2,0.223022
3,0.213453
4,0.205904
5,0.201964
6,0.197642
7,0.195112
8,0.193185
9,0.191345
10,0.190401
11,0.189584
12,0.188826
13,0.188110
14,0.187882
15,0.186889
16,0.185755
17,0.185468
18,0.184831
19,0.184176
20,0.183109
21,0.182497
22,0.182258
23,0.181553
24,0.180933
25,0.180357
26,0.179654
27,0.179008
28,0.178366
29,0.177788
30,0.176940
31,0.176091
32,0.175861
33,0.175123
34,0.174495
35,0.173443
36,0.172764
37,0.172054
38,0.171380
39,0.171050
40,0.170233
41,0.169550
42,0.168870
43,0.168178
44,0.167035
45,0.166544
46,0.165928
47,0.165144
48,0.164422
49,0.163586
50,0.162740
51,0.161979
52,0.160974
53,0.160494
54,0.159625
55,0.159001
56,0.158050
57,0.157260
58,0.156313
59,0.155692
60,0.155042
61,0.154111
62,0.153324
63,0.152281
64,0.151821
65,0.150878
66,0.150015
67,0.149347
68,0.148377
69,0.147415
70,0.146874
71,0.145869
72,0.144964
73,0.144448
74,0.143600
75,0.142807
76,0.141835
77,0.140983
78,0.140010
79,0.139512
80,0.138677
81,0.137610
82,0.136956
83,0.135913
84,0.135119
85,0.134322
86,0.133598
87,0.132780
88,0.132163
89,0.131311
90,0.130473
91,0.129472
92,0.128505
93,0.127954
94,0.126881
95,0.126327
96,0.125367
97,0.124680
98,0.123587
99,0.122836
100,0.121999
101,0.121424
102,0.120461
103,0.119547
104,0.118783
105,0.117953
106,0.117411
107,0.116618
108,0.115819
109,0.115027
110,0.114236
111,0.113440
112,0.112438
113,0.111623
114,0.111085
115,0.110309
116,0.109245
117,0.108772
118,0.107772
119,0.106968
120,0.106464
121,0.105700
122,0.104728
123,0.103982
124,0.103438
125,0.102667
126,0.101693
127,0.100929
128,0.100195
129,0.099527
130,0.098911
131,0.098180
132,0.097173
133,0.096530
134,0.095766
135,0.095047
136,0.094256
137,0.093636
138,0.093093
139,0.092197
140,0.091684
141,0.090665
142,0.090100
143,0.089379
144,0.088693
145,0.088012
146,0.087482
147,0.086545
148,0.085792
149,0.085376
150,0.084543
151,0.083759
152,0.083349
153,0.082445
154,0.081793
155,0.081229
156,0.080507
157,0.080013
158,0.079217
159,0.078479
160,0.078054
161,0.077413
162,0.076649
163,0.076122
164,0.075482
165,0.074643
166,0.074113
167,0.073400
168,0.073000
169,0.072390
170,0.071547
171,0.071058
172,0.070341
173,0.069978
174,0.069184
175,0.068658
176,0.067968
177,0.067622
178,0.066915
179,0.066338
180,0.065667
181,0.065097
182,0.064574
183,0.064222
184,0.063652
185,0.063083
186,0.062346
187,0.061892
188,0.061443
189,0.060896
190,0.060193
191,0.059688
192,0.059252
193,0.058626
194,0.058302
195,0.057627
196,0.057196
197,0.056594
198,0.056119
199,0.055703
200,0.055276
201,0.054778
202,0.054141
203,0.053689
204,0.053281
205,0.052782
206,0.052394
207,0.051783
208,0.051395
209,0.050866
210,0.050434
211,0.050151
212,0.049561
213,0.049152
214,0.048853
215,0.048281
216,0.047878
217,0.047475
218,0.047176
219,0.046670
220,0.046289
221,0.045877
222,0.045470
223,0.045067
224,0.044553
225,0.044291
226,0.043832
227,0.043387
228,0.043075
229,0.042685
230,0.042316
231,0.042008
232,0.041582
233,0.041168
234,0.040916
235,0.040561
236,0.040205
237,0.039754
238,0.039474
239,0.039172
240,0.038791
241,0.038460
242,0.038177
243,0.037797
244,0.037426
245,0.037198
246,0.036788
247,0.036522
248,0.036251
249,0.035906
250,0.035553
251,0.035340
252,0.035039
253,0.034703
254,0.034416
255,0.034163
256,0.033843
257,0.033559
258,0.033319
259,0.033002
260,0.032765
261,0.032491
262,0.032217
263,0.031949
264,0.031616
265,0.031426
266,0.031135
267,0.030913
268,0.030659
269,0.030383
270,0.030133
271,0.029856
272,0.029677
273,0.029436
274,0.029175
275,0.028942
276,0.028737
277,0.028504
278,0.028278
279,0.027996
280,0.027778
281,0.027563
282,0.027402
283,0.027185
284,0.026920
285,0.026741
286,0.026523
287,0.026314
288,0.026133
289,0.025909
290,0.025711
291,0.025537
292,0.025291
293,0.025098
294,0.024932
295,0.024744
296,0.024555
297,0.024371
298,0.024164
299,0.024023
300,0.023801
301,0.023664
302,0.023469
303,0.023274
304,0.023141
305,0.022954
306,0.022782
307,0.022632
308,0.022430
309,0.022267
310,0.022142
311,0.021981
312,0.021789
313,0.021635
314,0.021514
315,0.021328
316,0.021193
317,0.021038
318,0.020869
319,0.020739
320,0.020605
321,0.020460
322,0.020287
323,0.020164
324,0.020022
325,0.019882
326,0.019728
327,0.019608
328,0.019472
329,0.019351
330,0.019217
331,0.019075
332,0.018931
333,0.018827
334,0.018700
335,0.018563
336,0.018425
337,0.018326
338,0.018180
339,0.018061
340,0.017944
341,0.017848
342,0.017709
343,0.017605
344,0.017475
345,0.017363
346,0.017252
347,0.017153
348,0.017046
349,0.016935
350,0.016807
351,0.016712
352,0.016610
353,0.016496
354,0.016399
355,0.016295
356,0.016185
357,0.016090
358,0.015972
359,0.015873
360,0.015775
361,0.015695
362,0.015597
363,0.015494
364,0.015388
365,0.015295
366,0.015218
367,0.015125
368,0.015032
369,0.014926
370,0.014845
371,0.014761
372,0.014672
373,0.014585
374,0.014491
375,0.014405
376,0.014320
377,0.014227
378,0.014157
379,0.014061
380,0.013992
381,0.013898
382,0.013818
383,0.013746
384,0.013665
385,0.013591
386,0.013513
387,0.013435
388,0.013359
389,0.013282
390,0.013196
391,0.013128
392,0.013054
393,0.012980
394,0.012901
395,0.012836
396,0.012764
397,0.012687
398,0.012628
399,0.012554
400,0.012479
401,0.012411
402,0.012343
403,0.012282
404,0.012215
405,0.012149
406,0.012078
407,0.012022
408,0.011948
409,0.011890
410,0.011821
411,0.011759
412,0.011702
413,0.011643
414,0.011573
415,0.011518
416,0.011457
417,0.011401
418,0.011338
419,0.011279
420,0.011221
421,0.011166
422,0.011101
423,0.011048
424,0.010995
425,0.010939
426,0.010876
427,0.010828
428,0.010766
429,0.010717
430,0.010662
431,0.010612
432,0.010552
433,0.010504
434,0.010448
435,0.010403
436,0.010349
437,0.010300
438,0.010247
439,0.010197
440,0.010147
441,0.010094
442,0.010052
443,0.010000
444,0.009955
445,0.009901
446,0.009859
447,0.009807
448,0.009766
449,0.009717
450,0.009668
451,0.009625
452,0.009582
453,0.009535
454,0.009487
455,0.009443
456,0.009404
457,0.009358
458,0.009315
459,0.009272
460,0.009229
461,0.009187
462,0.009147
463,0.009105
464,0.009062
465,0.009023
466,0.008977
467,0.008936
468,0.008899
469,0.008856
470,0.008819
471,0.008777
472,0.008741
473,0.008702
474,0.008663
475,0.008623
476,0.008587
477,0.008547
478,0.008510
479,0.008475
480,0.008440
481,0.008402
482,0.008363
483,0.008329
484,0.008293
485,0.008258
486,0.008222
487,0.008185
488,0.008150
489,0.008119
490,0.008083
491,0.008047
492,0.008013
493,0.007983
494,0.007946
495,0.007916
496,0.007880
497,0.007850
498,0.007815
499,0.007784
500,0.007752
