epoca,mse
1,1.048955
2,0.960548
3,0.958792
4,0.956961
5,0.954784
6,0.951938
7,0.948643
8,0.943873
9,0.938074
10,0.930078
11,0.918846
12,0.903703
13,0.886248
14,0.867829
15,0.847346
16,0.827011
17,0.805258
18,0.783323
19,0.759658
20,0.735047
21,0.707607
22,0.681319
23,0.654060
24,0.624121
25,0.594149
26,0.564557
27,0.538827
28,0.511766
29,0.485830
30,0.462255
31,0.440494
32,0.418461
33,0.400980
34,0.382557
35,0.365926
36,0.351433
37,0.339550
38,0.325688
39,0.314208
40,0.303284
41,0.293050
42,0.282379
43,0.273671
44,0.265445
45,0.258734
46,0.249432
47,0.241861
48,0.235965
49,0.229014
50,0.222949
51,0.215638
52,0.212895
53,0.206517
54,0.201683
55,0.195914
56,0.192677
57,0.187295
58,0.183187
59,0.178771
60,0.176025
61,0.172606
62,0.169070
63,0.164627
64,0.161223
65,0.158738
66,0.155097
67,0.151223
68,0.148567
69,0.146498
70,0.143609
71,0.141751
72,0.139023
73,0.135215
74,0.133825
75,0.130230
76,0.129512
77,0.126492
78,0.124677
79,0.122494
80,0.120525
81,0.118742
82,0.116388
83,0.114608
84,0.113109
85,0.111244
86,0.108866
87,0.107493
88,0.106107
89,0.104500
90,0.102716
91,0.101320
92,0.100037
93,0.098314
94,0.097539
95,0.095025
96,0.094977
97,0.093338
98,0.092469
99,0.090865
100,0.089174
