amostra,classe_esperada,classe_predita,acerto,esperado_raw,saida_raw
1,6,6,sim,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0004, 0.0009, 0.0399, 0.0008, 0.0012, 0.0003, 0.9161, 0.0021, 0.0095, 0.0001, 0.0012, 0.0529, 0.0007, 0.0069, 0.0184, 0.0000, 0.4694, 0.0000, 0.0012, 0.0020, 0.0876, 0.0008, 0.0073, 0.0000, 0.0000, 0.0012]"
2,23,23,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0.0048, 0.0003, 0.0001, 0.0002, 0.0029, 0.0019, 0.0000, 0.0008, 0.0001, 0.0000, 0.2288, 0.0050, 0.0021, 0.0087, 0.0000, 0.0006, 0.0009, 0.0026, 0.0002, 0.0080, 0.0001, 0.0032, 0.0002, 0.9372, 0.0389, 0.0142]"
3,4,4,sim,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0004, 0.2093, 0.0020, 0.0006, 0.9753, 0.0410, 0.0223, 0.0039, 0.0006, 0.0007, 0.0126, 0.0059, 0.0000, 0.0000, 0.0000, 0.0001, 0.0000, 0.0004, 0.0879, 0.0017, 0.0001, 0.0016, 0.0001, 0.0000, 0.0025, 0.0331]"
4,23,23,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0.0018, 0.0006, 0.0000, 0.0000, 0.0015, 0.0003, 0.0000, 0.0002, 0.0005, 0.0013, 0.0995, 0.0438, 0.0003, 0.0059, 0.0000, 0.0000, 0.0019, 0.0094, 0.0085, 0.0002, 0.0001, 0.0097, 0.0012, 0.7394, 0.0918, 0.0057]"
5,4,4,sim,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0042, 0.0145, 0.0104, 0.0023, 0.7001, 0.2920, 0.0072, 0.0014, 0.0006, 0.0028, 0.0037, 0.0202, 0.0000, 0.0000, 0.0001, 0.0017, 0.0000, 0.0020, 0.0251, 0.0055, 0.0000, 0.0032, 0.0003, 0.0004, 0.0007, 0.0125]"
6,22,22,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.0117, 0.0002, 0.0001, 0.0018, 0.0000, 0.0041, 0.0277, 0.0081, 0.0084, 0.0636, 0.0000, 0.0004, 0.1122, 0.0001, 0.2505, 0.0264, 0.0043, 0.0002, 0.0002, 0.0001, 0.0001, 0.0000, 0.9710, 0.0001, 0.0000, 0.0019]"
7,15,15,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0009, 0.0014, 0.0059, 0.0017, 0.0003, 0.0652, 0.0002, 0.0006, 0.0004, 0.0046, 0.0001, 0.0002, 0.0297, 0.0000, 0.0082, 0.8675, 0.0010, 0.0024, 0.0001, 0.0222, 0.0001, 0.0575, 0.0007, 0.0002, 0.0012, 0.0010]"
8,3,3,sim,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0048, 0.1317, 0.0013, 0.9813, 0.0002, 0.0000, 0.0130, 0.0332, 0.0002, 0.0033, 0.0003, 0.0014, 0.0004, 0.0025, 0.0146, 0.0032, 0.0006, 0.0155, 0.0015, 0.0000, 0.0384, 0.0001, 0.0049, 0.0000, 0.0000, 0.0035]"
9,23,10,nao,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0.0011, 0.0000, 0.0045, 0.0007, 0.0009, 0.0124, 0.0000, 0.0003, 0.0004, 0.0001, 0.7285, 0.0002, 0.0074, 0.0136, 0.0000, 0.0008, 0.0008, 0.0168, 0.0017, 0.3019, 0.0001, 0.0105, 0.0001, 0.3992, 0.0278, 0.0005]"
10,2,2,sim,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0000, 0.0047, 0.5366, 0.0556, 0.0119, 0.0001, 0.0840, 0.0000, 0.0287, 0.0008, 0.0010, 0.0109, 0.0001, 0.0006, 0.0128, 0.0000, 0.0232, 0.0001, 0.0111, 0.0126, 0.0183, 0.0028, 0.0002, 0.0000, 0.0003, 0.0042]"
11,25,25,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0006, 0.0172, 0.0033, 0.0026, 0.0698, 0.0002, 0.0004, 0.0000, 0.0890, 0.0376, 0.0005, 0.0148, 0.0001, 0.0000, 0.0014, 0.0030, 0.0053, 0.0001, 0.0011, 0.0173, 0.0000, 0.0004, 0.0014, 0.0043, 0.0177, 0.9841]"
12,10,10,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0012, 0.0000, 0.0024, 0.0019, 0.0005, 0.0075, 0.0000, 0.0091, 0.0001, 0.0001, 0.8770, 0.0126, 0.0010, 0.0087, 0.0000, 0.0004, 0.0001, 0.0090, 0.0014, 0.0082, 0.0051, 0.0115, 0.0011, 0.0425, 0.0040, 0.0003]"
13,5,5,sim,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0081, 0.0026, 0.0058, 0.0048, 0.0433, 0.7858, 0.0006, 0.0312, 0.0000, 0.0011, 0.0149, 0.0006, 0.0021, 0.0004, 0.0003, 0.1428, 0.0001, 0.0053, 0.0009, 0.0171, 0.0000, 0.0051, 0.0006, 0.0009, 0.0005, 0.0006]"
14,15,15,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0008, 0.1476, 0.0008, 0.0254, 0.0300, 0.0549, 0.0000, 0.0018, 0.0001, 0.0064, 0.0002, 0.0001, 0.0209, 0.0000, 0.0018, 0.9223, 0.0000, 0.0206, 0.0004, 0.0030, 0.0000, 0.0077, 0.0003, 0.0009, 0.0122, 0.0269]"
