epoca,mse
1,1.045119
2,0.959998
3,0.957758
4,0.955640
5,0.952818
6,0.949299
7,0.944264
8,0.937391
9,0.928543
10,0.917476
11,0.905460
12,0.889056
13,0.870007
14,0.847625
15,0.821858
16,0.791349
17,0.762873
18,0.729855
19,0.692060
20,0.660636
21,0.625986
22,0.592526
23,0.562886
24,0.533297
25,0.505677
26,0.482251
27,0.456632
28,0.438222
29,0.417173
30,0.399635
31,0.383285
32,0.367074
33,0.353073
34,0.339144
35,0.326399
36,0.315130
37,0.303800
38,0.293035
39,0.282088
40,0.273651
41,0.266694
42,0.257761
43,0.248472
44,0.242678
45,0.234474
46,0.228003
47,0.222214
48,0.215015
49,0.210787
50,0.204097
51,0.198713
52,0.193995
53,0.189737
54,0.185059
55,0.181052
56,0.176418
57,0.171960
58,0.168115
59,0.165213
60,0.161302
61,0.157560
62,0.155051
63,0.150974
64,0.148368
65,0.145685
66,0.142787
67,0.140115
68,0.137800
69,0.134480
70,0.132199
71,0.130457
72,0.128792
73,0.125422
74,0.122313
75,0.120794
76,0.118719
77,0.116823
78,0.115006
79,0.113367
80,0.110208
81,0.109193
82,0.107506
83,0.106343
84,0.103384
85,0.102926
86,0.100214
87,0.100489
88,0.097834
89,0.096555
90,0.094988
91,0.093512
92,0.090994
93,0.091242
94,0.089904
95,0.087713
96,0.087120
97,0.085660
98,0.084209
99,0.083357
100,0.082097
101,0.080771
102,0.079730
103,0.078428
104,0.077747
105,0.076926
106,0.075243
107,0.075052
108,0.073564
109,0.072536
110,0.071662
111,0.071445
112,0.069941
113,0.069353
114,0.068103
115,0.067406
116,0.066636
117,0.065336
118,0.064969
119,0.064144
120,0.063559
121,0.062866
122,0.061879
123,0.061303
124,0.060733
125,0.059334
126,0.058607
127,0.058776
128,0.058013
129,0.057354
130,0.056233
131,0.055966
132,0.055211
133,0.055060
134,0.054183
135,0.053795
136,0.053210
137,0.052681
138,0.052295
139,0.051522
140,0.050841
141,0.050934
142,0.050339
143,0.049474
144,0.049319
145,0.048520
146,0.048322
147,0.047764
148,0.047264
149,0.047202
150,0.045935
151,0.045942
152,0.045401
153,0.045077
154,0.044167
155,0.044359
156,0.043516
157,0.043569
158,0.043079
159,0.042644
160,0.042300
161,0.041898
162,0.041324
