amostra,classe_esperada,classe_predita,acerto,esperado_raw,saida_raw
1,11,11,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0016, 0.0174, 0.0229, 0.0058, 0.1206, 0.0024, 0.0002, 0.0001, 0.0033, 0.0001, 0.0004, 0.9235, 0.0000, 0.0000, 0.0000, 0.0001, 0.0192, 0.0005, 0.0007, 0.0001, 0.0000, 0.0010, 0.0054, 0.0030, 0.0001, 0.0298]"
2,10,10,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0058, 0.0001, 0.0002, 0.0000, 0.0212, 0.0011, 0.0000, 0.0047, 0.0015, 0.0000, 0.9682, 0.0030, 0.0012, 0.0013, 0.0000, 0.0000, 0.0010, 0.0009, 0.0003, 0.0002, 0.0001, 0.0002, 0.0125, 0.1121, 0.0009, 0.0040]"
3,4,4,sim,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0000, 0.0835, 0.0019, 0.0005, 0.2696, 0.0106, 0.0007, 0.0004, 0.0016, 0.0004, 0.0021, 0.0061, 0.0000, 0.0000, 0.0003, 0.0008, 0.0002, 0.0001, 0.1750, 0.0011, 0.0007, 0.0001, 0.0009, 0.0001, 0.0304, 0.0229]"
4,23,10,nao,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0.0033, 0.0000, 0.0001, 0.0000, 0.0101, 0.0155, 0.0112, 0.0004, 0.0001, 0.0000, 0.1582, 0.0024, 0.0000, 0.0170, 0.0000, 0.0000, 0.0031, 0.0105, 0.0134, 0.0020, 0.0001, 0.0024, 0.0005, 0.0076, 0.0048, 0.0000]"
5,17,17,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0.1267, 0.0001, 0.0000, 0.4550, 0.0000, 0.0030, 0.0205, 0.0156, 0.0000, 0.0007, 0.0002, 0.0000, 0.0022, 0.1682, 0.0000, 0.0085, 0.0018, 0.8296, 0.0001, 0.0134, 0.0001, 0.0005, 0.0017, 0.0006, 0.0000, 0.0000]"
6,5,8,nao,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0010, 0.0000, 0.0196, 0.0002, 0.0009, 0.0312, 0.0016, 0.0000, 0.0711, 0.0007, 0.0000, 0.0339, 0.0006, 0.0003, 0.0017, 0.0010, 0.0003, 0.0012, 0.0036, 0.0049, 0.0000, 0.0002, 0.0084, 0.0008, 0.0004, 0.0003]"
7,11,11,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0003, 0.0004, 0.0014, 0.0009, 0.0156, 0.0003, 0.0002, 0.0001, 0.0008, 0.0000, 0.0023, 0.7863, 0.0000, 0.0004, 0.0000, 0.0000, 0.0129, 0.0002, 0.0296, 0.0007, 0.0001, 0.0012, 0.0001, 0.0028, 0.0074, 0.0006]"
8,23,23,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0.0123, 0.0001, 0.0004, 0.0001, 0.0087, 0.0012, 0.0005, 0.0001, 0.0000, 0.0002, 0.0685, 0.0074, 0.0000, 0.0060, 0.0000, 0.0000, 0.0002, 0.0005, 0.0133, 0.0056, 0.0000, 0.0003, 0.0001, 0.3975, 0.0035, 0.0011]"
9,18,11,nao,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.0030, 0.0001, 0.0143, 0.0017, 0.0011, 0.0001, 0.0002, 0.0000, 0.0848, 0.0040, 0.0053, 0.6704, 0.0000, 0.0001, 0.0000, 0.0000, 0.0157, 0.0051, 0.0365, 0.0003, 0.0000, 0.0006, 0.0139, 0.0036, 0.0002, 0.0027]"
10,13,13,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005, 0.0000, 0.0000, 0.0004, 0.0000, 0.0000, 0.0004, 0.0010, 0.0002, 0.0000, 0.0036, 0.0009, 0.0366, 0.7628, 0.0000, 0.0000, 0.0016, 0.0029, 0.0624, 0.0000, 0.0001, 0.0000, 0.0358, 0.0081, 0.0002, 0.0000]"
11,16,16,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0000, 0.0000, 0.0119, 0.0010, 0.0000, 0.0000, 0.0437, 0.0000, 0.0064, 0.0000, 0.0003, 0.0016, 0.0003, 0.0102, 0.0274, 0.0000, 0.9804, 0.0069, 0.0005, 0.0021, 0.0047, 0.0000, 0.0164, 0.0000, 0.0000, 0.0003]"
12,25,25,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0001, 0.0113, 0.0009, 0.0002, 0.0032, 0.0005, 0.0000, 0.0003, 0.0003, 0.0025, 0.0000, 0.0014, 0.0022, 0.0000, 0.0000, 0.0207, 0.0005, 0.0001, 0.0001, 0.0007, 0.0000, 0.0027, 0.0003, 0.0071, 0.0216, 0.2582]"
13,3,3,sim,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0009, 0.0085, 0.0001, 0.9692, 0.0000, 0.0000, 0.0001, 0.0098, 0.0000, 0.0012, 0.0000, 0.0000, 0.0422, 0.0003, 0.0229, 0.0606, 0.0036, 0.0200, 0.0000, 0.0050, 0.0105, 0.0003, 0.0069, 0.0000, 0.0000, 0.0016]"
14,5,5,sim,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0008, 0.0004, 0.0026, 0.0066, 0.0034, 0.7859, 0.0030, 0.0003, 0.0000, 0.0001, 0.0019, 0.0000, 0.0001, 0.0005, 0.0000, 0.0603, 0.0000, 0.0087, 0.0024, 0.1788, 0.0000, 0.0027, 0.0001, 0.0000, 0.0003, 0.0000]"
15,6,6,sim,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001, 0.0002, 0.0020, 0.0009, 0.0000, 0.0003, 0.6913, 0.0027, 0.0004, 0.0006, 0.0000, 0.0000, 0.0014, 0.0077, 0.5496, 0.0003, 0.0175, 0.0001, 0.0011, 0.0016, 0.1197, 0.0000, 0.1059, 0.0000, 0.0000, 0.0001]"
16,11,11,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0200, 0.0004, 0.1159, 0.0005, 0.0742, 0.0090, 0.0018, 0.0000, 0.0020, 0.0006, 0.0243, 0.3071, 0.0000, 0.0000, 0.0000, 0.0000, 0.0014, 0.0016, 0.0002, 0.0019, 0.0000, 0.0001, 0.0074, 0.0028, 0.0000, 0.0850]"
17,4,11,nao,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0001, 0.0183, 0.0004, 0.0035, 0.0214, 0.0003, 0.0001, 0.0182, 0.0001, 0.0000, 0.0237, 0.0438, 0.0003, 0.0001, 0.0000, 0.0014, 0.0014, 0.0010, 0.0002, 0.0000, 0.0032, 0.0005, 0.0026, 0.0001, 0.0011, 0.0093]"
18,11,11,sim,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0005, 0.0026, 0.0105, 0.0000, 0.1607, 0.0471, 0.0060, 0.0106, 0.0000, 0.0000, 0.1373, 0.6079, 0.0001, 0.0000, 0.0000, 0.0007, 0.0003, 0.0001, 0.0007, 0.0000, 0.0093, 0.0265, 0.0018, 0.0000, 0.0023, 0.0005]"
19,3,3,sim,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0002, 0.0030, 0.0009, 0.4591, 0.0000, 0.0001, 0.0022, 0.0007, 0.0003, 0.0061, 0.0000, 0.0000, 0.0005, 0.0005, 0.1521, 0.0600, 0.0001, 0.0008, 0.0063, 0.2500, 0.0008, 0.0000, 0.0005, 0.0000, 0.0000, 0.0078]"
20,4,4,sim,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0000, 0.0047, 0.0645, 0.0006, 0.2931, 0.0313, 0.0001, 0.0000, 0.0015, 0.0014, 0.0029, 0.0091, 0.0000, 0.0000, 0.0001, 0.0047, 0.0003, 0.0007, 0.0043, 0.0034, 0.0000, 0.0016, 0.0009, 0.0000, 0.0027, 0.0350]"
