epoca,mse
1,1.017585
2,0.834429
3,0.804727
4,0.766863
5,0.719968
6,0.666200
7,0.611385
8,0.548590
9,0.496556
10,0.445928
11,0.401119
12,0.362882
13,0.327879
14,0.299462
15,0.274477
16,0.252415
17,0.229409
18,0.210403
19,0.193854
20,0.176994
21,0.160569
22,0.151667
23,0.136902
24,0.127035
25,0.116946
26,0.107546
27,0.099630
28,0.091877
29,0.085047
30,0.079127
31,0.073133
32,0.068398
33,0.063805
34,0.058979
35,0.055890
36,0.052874
37,0.049894
38,0.047317
39,0.044767
40,0.042364
41,0.040338
42,0.038270
43,0.036611
44,0.034917
45,0.033355
46,0.031960
47,0.030689
48,0.029410
49,0.028280
50,0.027236
51,0.026155
52,0.025245
53,0.024411
54,0.023580
55,0.022777
56,0.022098
57,0.021359
58,0.020750
59,0.020115
60,0.019539
61,0.018980
62,0.018443
63,0.017953
64,0.017474
65,0.017008
66,0.016566
67,0.016167
68,0.015771
69,0.015388
70,0.015032
71,0.014671
72,0.014345
73,0.014025
74,0.013720
75,0.013417
76,0.013142
77,0.012867
78,0.012605
79,0.012352
80,0.012107
81,0.011864
82,0.011647
83,0.011409
84,0.011214
85,0.011008
86,0.010815
87,0.010616
88,0.010435
89,0.010256
90,0.010082
91,0.009906
92,0.009752
93,0.009591
94,0.009442
95,0.009292
96,0.009148
97,0.009007
98,0.008870
99,0.008736
100,0.008607
101,0.008479
102,0.008359
103,0.008239
104,0.008123
105,0.008009
106,0.007898
107,0.007793
108,0.007688
109,0.007585
110,0.007485
111,0.007388
112,0.007293
113,0.007201
114,0.007110
115,0.007022
116,0.006936
117,0.006852
118,0.006769
119,0.006687
120,0.006610
121,0.006530
122,0.006455
123,0.006383
124,0.006308
125,0.006239
126,0.006170
127,0.006102
128,0.006035
129,0.005970
130,0.005905
131,0.005844
132,0.005782
133,0.005722
134,0.005662
135,0.005605
136,0.005548
137,0.005493
138,0.005438
139,0.005384
140,0.005331
141,0.005279
142,0.005229
143,0.005179
144,0.005130
145,0.005081
146,0.005034
147,0.004987
148,0.004942
149,0.004897
150,0.004853
151,0.004809
152,0.004767
153,0.004725
154,0.004684
155,0.004642
156,0.004603
157,0.004564
158,0.004525
159,0.004487
160,0.004449
161,0.004413
162,0.004376
163,0.004341
164,0.004305
165,0.004271
166,0.004236
167,0.004203
168,0.004170
169,0.004137
170,0.004105
171,0.004073
172,0.004042
173,0.004011
174,0.003980
175,0.003950
176,0.003921
177,0.003892
178,0.003863
179,0.003835
180,0.003807
181,0.003780
182,0.003752
183,0.003726
184,0.003699
185,0.003673
186,0.003647
187,0.003622
188,0.003597
189,0.003572
190,0.003548
191,0.003524
192,0.003500
193,0.003476
194,0.003453
195,0.003430
196,0.003408
197,0.003385
198,0.003363
199,0.003342
200,0.003320
201,0.003299
202,0.003278
203,0.003257
204,0.003237
205,0.003216
206,0.003196
207,0.003176
208,0.003157
209,0.003137
210,0.003118
211,0.003099
212,0.003081
213,0.003062
214,0.003044
215,0.003026
216,0.003008
217,0.002991
218,0.002973
219,0.002956
220,0.002939
221,0.002922
222,0.002905
223,0.002889
224,0.002872
225,0.002856
226,0.002840
227,0.002824
228,0.002809
229,0.002793
230,0.002778
231,0.002763
232,0.002747
233,0.002733
234,0.002718
235,0.002703
236,0.002689
237,0.002675
238,0.002661
239,0.002646
240,0.002633
241,0.002619
242,0.002605
243,0.002592
244,0.002579
245,0.002566
246,0.002552
247,0.002539
248,0.002527
249,0.002514
250,0.002501
251,0.002489
252,0.002477
253,0.002464
254,0.002452
255,0.002440
256,0.002428
257,0.002417
258,0.002405
259,0.002394
260,0.002382
261,0.002371
262,0.002359
263,0.002348
264,0.002337
265,0.002326
266,0.002316
267,0.002305
268,0.002294
269,0.002284
270,0.002273
271,0.002263
272,0.002252
273,0.002242
274,0.002232
275,0.002222
276,0.002212
277,0.002202
278,0.002193
279,0.002183
280,0.002173
281,0.002164
282,0.002154
283,0.002145
284,0.002136
285,0.002126
286,0.002117
287,0.002108
288,0.002099
289,0.002090
290,0.002081
291,0.002073
292,0.002064
293,0.002055
294,0.002047
295,0.002038
296,0.002030
297,0.002021
298,0.002013
299,0.002005
300,0.001997
301,0.001989
302,0.001981
303,0.001973
304,0.001965
305,0.001957
306,0.001949
307,0.001941
308,0.001934
309,0.001926
310,0.001918
311,0.001911
312,0.001903
313,0.001896
314,0.001889
315,0.001881
316,0.001874
317,0.001867
318,0.001860
319,0.001853
320,0.001846
321,0.001839
322,0.001832
323,0.001825
324,0.001818
325,0.001811
326,0.001805
327,0.001798
328,0.001791
329,0.001785
330,0.001778
331,0.001772
332,0.001765
333,0.001759
334,0.001752
335,0.001746
336,0.001740
337,0.001733
338,0.001727
339,0.001721
340,0.001715
341,0.001709
342,0.001703
343,0.001697
344,0.001691
345,0.001685
346,0.001679
347,0.001673
348,0.001668
349,0.001662
350,0.001656
351,0.001651
352,0.001645
353,0.001639
354,0.001634
355,0.001628
356,0.001623
357,0.001617
358,0.001612
359,0.001606
360,0.001601
361,0.001596
362,0.001590
