epoca,mse
1,0.674678
2,0.638073
3,0.606994
4,0.552423
5,0.502335
6,0.452212
7,0.413271
8,0.389943
9,0.372215
10,0.356084
11,0.346589
12,0.339823
13,0.330599
14,0.322452
15,0.319245
16,0.316043
17,0.299780
18,0.308041
19,0.303979
20,0.298641
21,0.294795
22,0.291843
23,0.282824
24,0.277706
25,0.278650
26,0.277309
27,0.271720
28,0.265185
29,0.264589
30,0.260465
31,0.257902
32,0.253782
33,0.250872
34,0.245747
35,0.241663
36,0.238826
37,0.234232
38,0.229552
39,0.227400
40,0.221374
41,0.216582
42,0.214155
43,0.205663
44,0.208010
45,0.199963
46,0.198206
47,0.182054
48,0.186506
49,0.186414
50,0.177818
51,0.178352
52,0.174598
53,0.172614
54,0.168167
55,0.162922
56,0.160116
57,0.158533
58,0.149626
59,0.147311
60,0.146911
61,0.144333
62,0.142205
63,0.137587
64,0.133477
65,0.129947
66,0.127397
67,0.125757
68,0.122141
69,0.123459
70,0.118956
71,0.117722
72,0.112496
73,0.108565
74,0.110309
75,0.109389
76,0.106009
77,0.105353
78,0.105200
79,0.101925
80,0.095041
81,0.097407
82,0.094650
83,0.093470
84,0.094104
85,0.093780
86,0.091995
87,0.089282
88,0.084885
89,0.085839
90,0.086581
91,0.084514
92,0.084471
93,0.082454
94,0.083248
95,0.081170
96,0.081843
97,0.078365
98,0.077536
99,0.076852
100,0.075421
101,0.074961
102,0.075161
103,0.065991
104,0.075701
105,0.074623
106,0.072605
107,0.072688
108,0.070052
109,0.066704
110,0.070212
111,0.070100
112,0.064375
113,0.067929
114,0.067209
115,0.064216
116,0.059308
117,0.062740
118,0.067888
119,0.065633
120,0.065785
121,0.064843
122,0.064933
123,0.060285
124,0.063216
125,0.064302
126,0.063956
127,0.061905
128,0.060805
129,0.059174
130,0.063120
131,0.062991
132,0.060556
133,0.061898
134,0.057980
135,0.061455
136,0.054738
137,0.061394
138,0.060763
139,0.049358
140,0.060359
141,0.055406
142,0.060308
143,0.059889
144,0.059876
145,0.058649
146,0.057222
147,0.055871
148,0.059926
149,0.050198
150,0.059866
151,0.050231
152,0.056953
153,0.056343
154,0.050812
155,0.056686
156,0.056574
157,0.053442
158,0.056358
159,0.056756
160,0.054181
161,0.053262
162,0.055936
163,0.052328
164,0.053459
165,0.053794
166,0.055014
167,0.056794
168,0.049042
169,0.055834
170,0.050208
171,0.042349
172,0.057274
173,0.051328
174,0.054641
175,0.046453
176,0.053126
177,0.051176
178,0.053074
179,0.050184
180,0.052842
181,0.051902
182,0.048686
183,0.054618
184,0.052199
185,0.048060
186,0.054914
187,0.051572
188,0.052242
189,0.053335
190,0.052097
191,0.051302
