amostra,classe_esperada,classe_predita,acerto,esperado_raw,saida_raw
1,0,0,sim,"[1, 0, 0]","[0.9714, 0.0506, 0.0000]"
2,0,0,sim,"[1, 0, 0]","[0.9796, 0.0314, 0.0000]"
3,2,2,sim,"[0, 0, 1]","[0.0004, 0.1093, 0.9389]"
4,1,1,sim,"[0, 1, 0]","[0.0479, 0.9825, 0.0015]"
5,2,2,sim,"[0, 0, 1]","[0.0001, 0.0150, 0.9960]"
6,1,1,sim,"[0, 1, 0]","[0.0472, 0.9652, 0.0022]"
7,2,2,sim,"[0, 0, 1]","[0.0001, 0.0227, 0.9932]"
8,0,0,sim,"[1, 0, 0]","[0.9773, 0.0401, 0.0000]"
9,2,2,sim,"[0, 0, 1]","[0.0006, 0.0889, 0.9350]"
10,2,2,sim,"[0, 0, 1]","[0.0001, 0.0078, 0.9979]"
11,0,0,sim,"[1, 0, 0]","[0.9811, 0.0344, 0.0000]"
12,0,0,sim,"[1, 0, 0]","[0.9808, 0.0256, 0.0000]"
13,0,0,sim,"[1, 0, 0]","[0.9703, 0.0558, 0.0000]"
14,1,1,sim,"[0, 1, 0]","[0.0300, 0.9509, 0.0051]"
15,1,1,sim,"[0, 1, 0]","[0.0201, 0.9505, 0.0082]"
