epoca,mse
1,0.438475
2,0.386228
3,0.339963
4,0.299269
5,0.269965
6,0.250979
7,0.237472
8,0.226947
9,0.220644
10,0.216313
11,0.212552
12,0.209763
13,0.207238
14,0.205981
15,0.204460
16,0.203139
17,0.201863
18,0.201361
19,0.200488
20,0.199668
21,0.199134
22,0.198224
23,0.197737
24,0.197554
25,0.196918
26,0.196531
27,0.195764
28,0.195536
29,0.194931
30,0.194808
31,0.194355
32,0.193928
33,0.193453
34,0.192818
35,0.192736
36,0.192283
37,0.191767
38,0.191206
39,0.190963
40,0.190727
41,0.190321
42,0.189856
43,0.189521
44,0.188812
45,0.188434
46,0.188308
47,0.187959
48,0.187386
49,0.187174
50,0.186462
51,0.186065
52,0.185961
53,0.185248
54,0.185135
55,0.184736
56,0.184272
57,0.183891
58,0.183442
59,0.182988
60,0.182579
61,0.182189
62,0.181444
63,0.181294
64,0.180870
65,0.180139
66,0.179978
67,0.179265
68,0.179082
69,0.178512
70,0.177903
71,0.177630
72,0.177263
73,0.176762
74,0.175999
75,0.175703
76,0.175380
77,0.174845
78,0.174285
79,0.173514
80,0.173285
81,0.172486
82,0.172271
83,0.171714
84,0.171176
85,0.170505
86,0.169784
87,0.169514
88,0.168824
89,0.168255
90,0.167497
91,0.167175
92,0.166467
93,0.165672
94,0.165264
95,0.164645
96,0.164012
97,0.163399
98,0.162655
99,0.162035
100,0.161361
101,0.160744
102,0.159982
103,0.158994
104,0.158547
105,0.157810
106,0.157114
107,0.156230
108,0.155279
109,0.154844
110,0.153738
111,0.153141
112,0.152265
113,0.151301
114,0.150632
115,0.149836
116,0.149086
117,0.148065
118,0.147186
119,0.146297
120,0.145540
121,0.144332
122,0.143429
123,0.142517
124,0.141595
125,0.140842
126,0.139688
127,0.138909
128,0.137736
129,0.137044
130,0.135803
131,0.134728
132,0.133588
133,0.132690
134,0.131587
135,0.130668
136,0.129414
137,0.128254
138,0.127384
139,0.126066
140,0.124997
141,0.124148
142,0.122824
143,0.121632
144,0.120766
145,0.119565
146,0.118374
147,0.117113
148,0.116151
149,0.114853
150,0.113789
151,0.112596
152,0.111412
153,0.110263
154,0.108890
155,0.107741
156,0.106684
157,0.105571
158,0.104311
159,0.103168
160,0.101807
161,0.100602
162,0.099447
163,0.098304
164,0.097087
165,0.096016
166,0.094861
167,0.093758
168,0.092453
169,0.091273
170,0.090244
171,0.089106
172,0.087960
173,0.086816
174,0.085680
175,0.084586
176,0.083350
177,0.082255
178,0.081120
179,0.080203
180,0.079088
181,0.077889
182,0.076895
183,0.075776
184,0.074768
185,0.073768
186,0.072690
187,0.071711
188,0.070685
189,0.069776
190,0.068789
191,0.067816
192,0.066768
193,0.065835
194,0.064910
195,0.064050
196,0.063151
197,0.062251
198,0.061289
199,0.060400
200,0.059555
201,0.058757
202,0.057834
203,0.057090
204,0.056187
205,0.055377
206,0.054617
207,0.053839
208,0.053109
209,0.052267
210,0.051608
211,0.050832
212,0.050152
213,0.049379
214,0.048665
215,0.048043
216,0.047316
217,0.046622
218,0.046036
219,0.045328
220,0.044722
221,0.044124
222,0.043454
223,0.042851
224,0.042278
225,0.041679
226,0.041146
227,0.040581
228,0.039997
229,0.039442
230,0.038885
231,0.038372
232,0.037891
233,0.037381
234,0.036839
235,0.036387
236,0.035879
237,0.035403
238,0.034919
239,0.034458
240,0.034028
241,0.033568
242,0.033148
243,0.032704
244,0.032287
245,0.031872
246,0.031501
247,0.031082
248,0.030688
249,0.030305
250,0.029936
251,0.029564
252,0.029183
253,0.028838
254,0.028483
255,0.028109
256,0.027793
257,0.027445
258,0.027100
259,0.026778
260,0.026481
261,0.026167
262,0.025858
263,0.025543
264,0.025246
265,0.024942
266,0.024671
267,0.024387
268,0.024089
269,0.023817
270,0.023548
271,0.023294
272,0.023037
273,0.022765
274,0.022528
275,0.022272
276,0.022018
277,0.021793
278,0.021541
279,0.021311
280,0.021082
281,0.020859
282,0.020643
283,0.020428
284,0.020206
285,0.020000
286,0.019792
287,0.019580
288,0.019373
289,0.019175
290,0.018980
291,0.018789
292,0.018601
293,0.018415
294,0.018232
295,0.018060
296,0.017876
297,0.017699
298,0.017521
299,0.017352
300,0.017189
301,0.017026
302,0.016855
303,0.016699
304,0.016541
305,0.016388
306,0.016227
307,0.016076
308,0.015927
309,0.015780
310,0.015640
311,0.015493
312,0.015356
313,0.015214
314,0.015081
315,0.014948
316,0.014812
317,0.014681
318,0.014554
319,0.014421
320,0.014298
321,0.014171
322,0.014052
323,0.013931
324,0.013814
325,0.013697
326,0.013577
327,0.013462
328,0.013352
329,0.013243
330,0.013129
331,0.013021
332,0.012916
333,0.012810
334,0.012708
335,0.012604
336,0.012503
337,0.012402
338,0.012301
339,0.012208
340,0.012108
341,0.012016
342,0.011921
343,0.011828
344,0.011735
345,0.011646
346,0.011558
347,0.011470
348,0.011380
349,0.011296
350,0.011209
351,0.011128
352,0.011042
353,0.010962
354,0.010879
355,0.010799
356,0.010722
357,0.010643
358,0.010567
359,0.010489
360,0.010417
361,0.010342
362,0.010266
363,0.010194
364,0.010124
365,0.010053
366,0.009981
367,0.009914
368,0.009845
369,0.009776
370,0.009708
371,0.009643
372,0.009577
373,0.009511
374,0.009448
375,0.009386
376,0.009322
377,0.009259
378,0.009199
379,0.009139
380,0.009079
381,0.009018
382,0.008961
383,0.008903
384,0.008844
385,0.008787
386,0.008732
387,0.008676
388,0.008622
389,0.008566
390,0.008513
391,0.008459
392,0.008407
393,0.008355
394,0.008303
395,0.008252
396,0.008200
397,0.008151
398,0.008102
399,0.008053
400,0.008003
401,0.007955
402,0.007907
403,0.007861
404,0.007814
405,0.007767
406,0.007722
407,0.007677
408,0.007632
409,0.007588
410,0.007544
411,0.007500
412,0.007458
