epoca,mse
1,0.274192
2,0.270132
3,0.268765
4,0.267988
5,0.266778
6,0.265173
7,0.264626
8,0.264382
9,0.264299
10,0.265020
11,0.264074
12,0.263928
13,0.264730
14,0.264717
15,0.264699
16,0.264635
17,0.263677
18,0.264591
19,0.264449
20,0.264449
21,0.264428
22,0.264302
23,0.264325
24,0.264310
25,0.264240
26,0.264140
27,0.264197
28,0.263403
29,0.263192
30,0.264128
31,0.263995
32,0.263954
33,0.263894
34,0.263840
35,0.263854
36,0.262944
37,0.263644
38,0.263046
39,0.262952
40,0.262881
41,0.263683
42,0.263605
43,0.262945
44,0.262854
45,0.263499
46,0.263383
47,0.263312
48,0.263232
49,0.262409
50,0.263131
51,0.263104
52,0.262337
53,0.262949
54,0.262980
55,0.262868
56,0.262153
57,0.262823
58,0.262804
59,0.262043
60,0.262675
61,0.262037
62,0.262605
63,0.262576
64,0.262471
65,0.262433
66,0.262394
67,0.262373
68,0.261525
69,0.262378
70,0.261622
71,0.261569
72,0.261476
73,0.261496
74,0.261234
75,0.261983
76,0.261345
77,0.261908
78,0.261863
79,0.261125
80,0.261846
81,0.261120
82,0.261714
83,0.261589
84,0.261576
85,0.260717
86,0.260866
87,0.261454
88,0.261402
89,0.261356
90,0.261318
91,0.261237
92,0.261202
93,0.260536
94,0.260383
95,0.261061
96,0.260930
97,0.260947
98,0.260251
99,0.260837
100,0.260177
101,0.260733
102,0.260669
103,0.260580
104,0.259868
105,0.260531
106,0.260476
107,0.259620
108,0.260354
109,0.260308
110,0.260247
111,0.259420
112,0.259532
113,0.260104
114,0.260000
115,0.259961
116,0.259269
117,0.259908
118,0.259845
119,0.259815
120,0.259732
121,0.259151
122,0.259630
123,0.258941
124,0.259563
125,0.258946
126,0.258883
127,0.259379
128,0.258568
129,0.258349
130,0.258422
131,0.258344
132,0.258452
133,0.258388
134,0.258930
135,0.258826
136,0.258252
137,0.258682
138,0.257944
139,0.258625
140,0.258480
141,0.258379
142,0.257498
143,0.258099
144,0.257348
145,0.257995
146,0.257976
147,0.257873
148,0.257767
149,0.257102
150,0.257633
151,0.257514
152,0.257466
153,0.256671
154,0.257327
155,0.257245
156,0.257131
157,0.256543
158,0.256984
159,0.256278
160,0.256863
161,0.256764
162,0.256663
163,0.256631
164,0.256490
165,0.256451
166,0.255625
167,0.256281
168,0.256166
169,0.256103
170,0.255275
171,0.255945
172,0.255311
173,0.255804
174,0.255706
175,0.255016
176,0.254909
177,0.254647
178,0.255219
179,0.255123
180,0.255021
181,0.254274
182,0.254880
183,0.254224
184,0.254671
185,0.254627
186,0.253822
187,0.253827
188,0.254325
189,0.254206
190,0.254066
191,0.253915
192,0.253880
193,0.253773
194,0.253105
195,0.253074
196,0.252824
197,0.252705
198,0.253224
199,0.253116
200,0.252302
201,0.252894
202,0.252746
203,0.252097
204,0.252494
205,0.251819
206,0.252279
207,0.252148
208,0.252032
209,0.251933
210,0.251121
211,0.251661
212,0.251543
213,0.250929
214,0.251373
215,0.250503
216,0.251081
217,0.250887
218,0.250773
219,0.250626
220,0.250055
221,0.250410
222,0.249660
223,0.249659
224,0.249424
225,0.249902
226,0.249721
227,0.249609
228,0.249483
229,0.249301
230,0.248665
231,0.248411
232,0.248485
233,0.248323
234,0.248581
235,0.247780
236,0.248322
237,0.247529
238,0.247968
239,0.247890
240,0.247221
241,0.247014
242,0.247530
243,0.247321
244,0.247128
245,0.246882
246,0.246734
247,0.246645
248,0.245794
249,0.246356
250,0.246188
251,0.245486
252,0.245834
253,0.245650
254,0.245553
255,0.245333
256,0.245085
257,0.244951
258,0.244722
259,0.243913
260,0.244383
261,0.243799
262,0.244049
263,0.243821
264,0.243255
265,0.243479
266,0.242943
267,0.243186
268,0.242288
269,0.242803
270,0.242613
271,0.242365
272,0.241581
273,0.241978
274,0.241829
275,0.241683
276,0.241466
277,0.240685
278,0.240993
279,0.240311
280,0.240686
281,0.240478
282,0.239610
283,0.240070
284,0.239195
285,0.239694
286,0.239450
287,0.239185
288,0.238468
289,0.238174
290,0.238594
291,0.237850
292,0.238211
293,0.237423
294,0.237095
295,0.237476
296,0.237346
297,0.236458
298,0.236912
299,0.235993
300,0.236453
301,0.236167
302,0.236017
303,0.235777
304,0.234902
305,0.235347
306,0.235117
307,0.234199
308,0.234613
309,0.234303
310,0.234099
311,0.233843
312,0.233041
313,0.233463
314,0.233164
315,0.232920
316,0.232040
317,0.231841
318,0.232248
319,0.231990
320,0.231636
321,0.230962
322,0.231274
323,0.231004
324,0.230669
325,0.230438
326,0.230254
327,0.229938
328,0.229084
329,0.229381
330,0.229145
331,0.228881
332,0.228740
333,0.228099
